day,interval,detid,flow,occ,error,city,speed
2008-06-20,31140,38,380.0,0.0444444444444444,,toulouse,
2008-05-30,1980,38,140.0,0.0222222222222222,,toulouse,
2008-05-23,66960,38,100.0,0.0055555555555555,,toulouse,
2008-06-06,65160,38,80.0,0.0111111111111111,,toulouse,
2008-06-13,82800,38,180.0,0.0222222222222222,,toulouse,
2008-06-27,65520,38,280.0,0.0444444444444444,,toulouse,
2008-06-13,48960,38,240.0,0.0333333333333333,,toulouse,
2008-06-13,32220,38,360.0,0.0333333333333333,,toulouse,
2008-05-30,62460,38,360.0,0.0833333333333333,,toulouse,
2008-05-30,55620,38,80.0,0.0111111111111111,,toulouse,
2008-06-06,23940,38,140.0,0.0166666666666667,,toulouse,
2008-05-23,34920,38,260.0,0.0277777777777778,,toulouse,
2008-06-06,83340,38,280.0,0.0277777777777778,,toulouse,
2008-05-23,2700,38,180.0,0.0166666666666667,,toulouse,
2008-05-23,40680,38,240.0,0.0388888888888889,,toulouse,
2008-06-13,60660,38,340.0,0.0833333333333333,,toulouse,
2008-05-23,75420,38,320.0,0.0388888888888889,,toulouse,
2008-05-16,79560,38,220.0,0.0222222222222222,,toulouse,
2008-05-30,5940,38,80.0,0.0055555555555555,,toulouse,
2008-05-30,50040,38,260.0,0.0277777777777778,,toulouse,
2008-06-06,58320,38,260.0,0.0277777777777778,,toulouse,
2008-05-23,36360,38,300.0,0.0388888888888889,,toulouse,
2008-06-13,66780,38,400.0,0.0555555555555556,,toulouse,
2008-05-30,54720,38,220.0,0.0333333333333333,,toulouse,
2008-06-20,80100,38,80.0,0.0111111111111111,,toulouse,
2008-06-20,54000,38,160.0,0.0166666666666667,,toulouse,
2008-05-23,720,38,140.0,0.0111111111111111,,toulouse,
2008-06-13,75780,38,140.0,0.0111111111111111,,toulouse,
2008-06-06,70920,38,460.0,0.0611111111111111,,toulouse,
2008-06-13,12240,38,0.0,0.0,,toulouse,
2008-06-20,29700,38,340.0,0.0333333333333333,,toulouse,
2008-05-23,55440,38,200.0,0.0222222222222222,,toulouse,
2008-05-23,75780,38,240.0,0.0222222222222222,,toulouse,
2008-05-23,49680,38,80.0,0.0055555555555555,,toulouse,
2008-05-16,75960,38,160.0,0.0166666666666667,,toulouse,
2008-05-23,30240,38,480.0,0.0444444444444444,,toulouse,
2008-06-06,84420,38,240.0,0.0222222222222222,,toulouse,
2008-05-16,20340,38,100.0,0.0111111111111111,,toulouse,
2008-06-06,36720,38,260.0,0.0277777777777778,,toulouse,
2008-05-30,28440,38,500.0,0.0777777777777778,,toulouse,
2008-06-27,28980,38,80.0,0.0055555555555555,,toulouse,
2008-06-06,74340,38,200.0,0.0166666666666667,,toulouse,
2008-06-06,5400,38,220.0,0.0166666666666667,,toulouse,
2008-06-27,83700,38,160.0,0.0166666666666667,,toulouse,
2008-05-30,24840,38,80.0,0.0111111111111111,,toulouse,
2008-05-30,53820,38,200.0,0.0277777777777778,,toulouse,
2008-05-16,14760,38,60.0,0.0055555555555555,,toulouse,
2008-06-06,54720,38,160.0,0.0166666666666667,,toulouse,
2008-06-13,24300,38,40.0,0.0055555555555555,,toulouse,
2008-05-23,85680,38,200.0,0.0222222222222222,,toulouse,
2008-06-13,45000,38,200.0,0.0222222222222222,,toulouse,
2008-06-20,79380,38,320.0,0.0444444444444444,,toulouse,
2008-05-23,24660,38,0.0,0.0,,toulouse,
2008-06-06,56160,38,210.0,0.0388888888888889,,toulouse,
2008-06-20,38340,38,400.0,0.0611111111111111,,toulouse,
2008-06-20,75060,38,140.0,0.0166666666666667,,toulouse,
2008-05-30,18360,38,100.0,0.0055555555555555,,toulouse,
2008-06-06,48240,38,127.0,0.0166666666666667,,toulouse,
2008-06-13,21960,38,100.0,0.0166666666666667,,toulouse,
2008-06-13,73800,38,440.0,0.05,,toulouse,
2008-06-06,63900,38,100.0,0.0111111111111111,,toulouse,
2008-05-23,30600,38,240.0,0.0222222222222222,,toulouse,
2008-05-16,41940,38,160.0,0.0166666666666667,,toulouse,
2008-06-27,61380,38,140.0,0.0277777777777778,,toulouse,
2008-06-13,81900,38,120.0,0.0111111111111111,,toulouse,
2008-06-20,9000,38,60.0,0.0055555555555555,,toulouse,
2008-06-06,71280,38,380.0,0.0444444444444444,,toulouse,
2008-06-20,38880,38,540.0,0.0833333333333333,,toulouse,
2008-05-16,7200,38,60.0,0.0055555555555555,,toulouse,
2008-05-30,49320,38,340.0,0.05,,toulouse,
2008-06-13,38340,38,240.0,0.0388888888888889,,toulouse,
2008-06-13,79740,38,160.0,0.0166666666666667,,toulouse,
2008-05-23,54180,38,240.0,0.0277777777777778,,toulouse,
2008-05-16,41220,38,340.0,0.0444444444444444,,toulouse,
2008-06-20,8460,38,60.0,0.0055555555555555,,toulouse,
2008-05-16,34740,38,340.0,0.0444444444444444,,toulouse,
2008-05-16,71640,38,260.0,0.0333333333333333,,toulouse,
2008-06-06,59400,38,200.0,0.0222222222222222,,toulouse,
2008-06-06,3960,38,140.0,0.0166666666666667,,toulouse,
2008-05-30,32400,38,460.0,0.0555555555555556,,toulouse,
2008-05-30,29520,38,400.0,0.05,,toulouse,
2008-05-23,55260,38,240.0,0.0222222222222222,,toulouse,
2008-05-16,12960,38,0.0,0.0,,toulouse,
2008-05-16,60300,38,240.0,0.0333333333333333,,toulouse,
2008-06-06,79380,38,220.0,0.0222222222222222,,toulouse,
2008-05-30,60840,38,360.0,0.0833333333333333,,toulouse,
2008-06-20,49320,38,400.0,0.0722222222222222,,toulouse,
2008-05-23,33480,38,440.0,0.0444444444444444,,toulouse,
2008-05-23,79740,38,220.0,0.0222222222222222,,toulouse,
2008-06-20,69300,38,240.0,0.0277777777777778,,toulouse,
2008-06-06,33480,38,300.0,0.0333333333333333,,toulouse,
2008-05-30,18000,38,80.0,0.0055555555555555,,toulouse,
2008-05-16,34380,38,320.0,0.0277777777777778,,toulouse,
2008-05-23,43020,38,340.0,0.0333333333333333,,toulouse,
2008-06-20,75420,38,280.0,0.0388888888888889,,toulouse,
2008-05-23,48420,38,200.0,0.0166666666666667,,toulouse,
2008-05-23,62100,38,160.0,0.0166666666666667,,toulouse,
2008-05-16,37800,38,240.0,0.0277777777777778,,toulouse,
2008-05-30,25200,38,100.0,0.0111111111111111,,toulouse,
2008-06-20,80640,38,220.0,0.0222222222222222,,toulouse,
2008-06-20,28440,38,400.0,0.05,,toulouse,
2008-06-20,84060,38,240.0,0.0277777777777778,,toulouse,
2008-06-27,81180,38,280.0,0.0277777777777778,,toulouse,
2008-06-27,8640,38,80.0,0.0111111111111111,,toulouse,
2008-05-23,47340,38,160.0,0.0166666666666667,,toulouse,
2008-05-16,39060,38,340.0,0.0388888888888889,,toulouse,
2008-06-13,84780,38,140.0,0.0111111111111111,,toulouse,
2008-06-13,81540,38,100.0,0.0055555555555555,,toulouse,
2008-06-13,77940,38,240.0,0.0277777777777778,,toulouse,
2008-06-27,53460,38,280.0,0.0555555555555556,,toulouse,
2008-05-16,29160,38,560.0,0.0666666666666667,,toulouse,
2008-06-13,59760,38,320.0,0.0444444444444444,,toulouse,
2008-05-30,81720,38,20.0,0.0055555555555555,,toulouse,
2008-06-20,49140,38,171.0,0.0222222222222222,,toulouse,
2008-06-06,31140,38,260.0,0.0222222222222222,,toulouse,
2008-05-16,28080,38,260.0,0.0222222222222222,,toulouse,
2008-06-20,76860,38,220.0,0.0222222222222222,,toulouse,
2008-05-23,43560,38,280.0,0.0277777777777778,,toulouse,
2008-06-13,17460,38,0.0,0.0,,toulouse,
2008-05-23,61560,38,140.0,0.0111111111111111,,toulouse,
2008-05-16,35640,38,380.0,0.0555555555555556,,toulouse,
2008-05-23,42300,38,240.0,0.0277777777777778,,toulouse,
2008-06-27,79560,38,240.0,0.0222222222222222,,toulouse,
2008-05-23,57060,38,320.0,0.05,,toulouse,
2008-06-06,52020,38,360.0,0.0388888888888889,,toulouse,
2008-05-16,63000,38,400.0,0.0833333333333333,,toulouse,
2008-06-20,83160,38,300.0,0.0388888888888889,,toulouse,
2008-06-13,46620,38,220.0,0.0277777777777778,,toulouse,
2008-06-20,81540,38,300.0,0.0388888888888889,,toulouse,
2008-06-13,79560,38,160.0,0.0166666666666667,,toulouse,
2008-06-27,75780,38,260.0,0.0277777777777778,,toulouse,
2008-05-23,79920,38,320.0,0.0333333333333333,,toulouse,
2008-06-13,27000,38,100.0,0.0111111111111111,,toulouse,
2008-06-27,43380,38,0.0,0.0,,toulouse,
2008-06-27,59580,38,260.0,0.0444444444444444,,toulouse,
2008-06-27,21600,38,60.0,0.0111111111111111,,toulouse,
2008-05-23,61020,38,320.0,0.05,,toulouse,
2008-06-13,63720,38,200.0,0.0277777777777778,,toulouse,
2008-06-27,39780,38,60.0,0.0055555555555555,,toulouse,
2008-05-23,37260,38,200.0,0.0166666666666667,,toulouse,
2008-06-13,76680,38,200.0,0.0222222222222222,,toulouse,
2008-06-06,82260,38,160.0,0.0111111111111111,,toulouse,
2008-05-16,31320,38,480.0,0.0555555555555556,,toulouse,
2008-05-30,80100,38,0.0,0.0,,toulouse,
2008-06-13,80280,38,120.0,0.0111111111111111,,toulouse,
2008-06-20,69660,38,440.0,0.05,,toulouse,
2008-05-16,16200,38,0.0,0.0,,toulouse,
2008-06-06,18360,38,60.0,0.0111111111111111,,toulouse,
2008-06-06,54540,38,240.0,0.0222222222222222,,toulouse,
2008-06-06,28440,38,180.0,0.0166666666666667,,toulouse,
2008-06-13,75060,38,140.0,0.0166666666666667,,toulouse,
2008-06-06,53100,38,300.0,0.0388888888888889,,toulouse,
2008-05-16,64800,38,340.0,0.0555555555555556,,toulouse,
2008-05-30,81000,38,0.0,0.0,,toulouse,
2008-06-27,25020,38,80.0,0.0111111111111111,,toulouse,
2008-06-13,53820,38,260.0,0.0388888888888889,,toulouse,
2008-06-06,66780,38,140.0,0.0111111111111111,,toulouse,
2008-06-06,7920,38,120.0,0.0111111111111111,,toulouse,
