value,hour,site,season,var
0.47355568,0,FR-Cap,Summer,TRAFFICFLUX
0.47441494,1,FR-Cap,Summer,TRAFFICFLUX
0.15786698,2,FR-Cap,Summer,TRAFFICFLUX
0.15788801,3,FR-Cap,Summer,TRAFFICFLUX
0.052694473,4,FR-Cap,Summer,TRAFFICFLUX
5.4603857e-05,5,FR-Cap,Summer,TRAFFICFLUX
0.0,6,FR-Cap,Summer,TRAFFICFLUX
0.10575947,7,FR-Cap,Summer,TRAFFICFLUX
0.47355142,8,FR-Cap,Summer,TRAFFICFLUX
0.78897935,9,FR-Cap,Summer,TRAFFICFLUX
1.0,10,FR-Cap,Summer,TRAFFICFLUX
0.7889816,11,FR-Cap,Summer,TRAFFICFLUX
0.7889965,12,FR-Cap,Summer,TRAFFICFLUX
0.7889603,13,FR-Cap,Summer,TRAFFICFLUX
0.6312216,14,FR-Cap,Summer,TRAFFICFLUX
0.71048933,15,FR-Cap,Summer,TRAFFICFLUX
0.78997827,16,FR-Cap,Summer,TRAFFICFLUX
0.63189965,17,FR-Cap,Summer,TRAFFICFLUX
0.7889668,18,FR-Cap,Summer,TRAFFICFLUX
0.68435264,19,FR-Cap,Summer,TRAFFICFLUX
0.6314932,20,FR-Cap,Summer,TRAFFICFLUX
0.6312205,21,FR-Cap,Summer,TRAFFICFLUX
0.63549656,22,FR-Cap,Summer,TRAFFICFLUX
0.47389027,23,FR-Cap,Summer,TRAFFICFLUX
0.6257019,0,FR-Cap,Summer,TG_U
0.61428833,1,FR-Cap,Summer,TG_U
0.5488281,2,FR-Cap,Summer,TG_U
0.51119995,3,FR-Cap,Summer,TG_U
0.44677734,4,FR-Cap,Summer,TG_U
0.3894043,5,FR-Cap,Summer,TG_U
0.36956787,6,FR-Cap,Summer,TG_U
0.37130737,7,FR-Cap,Summer,TG_U
0.43710327,8,FR-Cap,Summer,TG_U
0.522583,9,FR-Cap,Summer,TG_U
0.6564331,10,FR-Cap,Summer,TG_U
0.6666565,11,FR-Cap,Summer,TG_U
0.6779785,12,FR-Cap,Summer,TG_U
0.6621094,13,FR-Cap,Summer,TG_U
0.62509155,14,FR-Cap,Summer,TG_U
0.6218567,15,FR-Cap,Summer,TG_U
0.63342285,16,FR-Cap,Summer,TG_U
0.6143799,17,FR-Cap,Summer,TG_U
0.6357422,18,FR-Cap,Summer,TG_U
0.6351929,19,FR-Cap,Summer,TG_U
0.6322632,20,FR-Cap,Summer,TG_U
0.64312744,21,FR-Cap,Summer,TG_U
0.6612854,22,FR-Cap,Summer,TG_U
0.63842773,23,FR-Cap,Summer,TG_U
0.36709595,0,FR-Cap,Summer,TSA_U
0.3612976,1,FR-Cap,Summer,TSA_U
0.35876465,2,FR-Cap,Summer,TSA_U
0.31118774,3,FR-Cap,Summer,TSA_U
0.28256226,4,FR-Cap,Summer,TSA_U
0.247406,5,FR-Cap,Summer,TSA_U
0.237854,6,FR-Cap,Summer,TSA_U
0.2355957,7,FR-Cap,Summer,TSA_U
0.23062134,8,FR-Cap,Summer,TSA_U
0.25204468,9,FR-Cap,Summer,TSA_U
0.32424927,10,FR-Cap,Summer,TSA_U
0.3114624,11,FR-Cap,Summer,TSA_U
0.29797363,12,FR-Cap,Summer,TSA_U
0.288208,13,FR-Cap,Summer,TSA_U
0.28048706,14,FR-Cap,Summer,TSA_U
0.26379395,15,FR-Cap,Summer,TSA_U
0.2755432,16,FR-Cap,Summer,TSA_U
0.2852478,17,FR-Cap,Summer,TSA_U
0.28442383,18,FR-Cap,Summer,TSA_U
0.3110962,19,FR-Cap,Summer,TSA_U
0.3224182,20,FR-Cap,Summer,TSA_U
0.34210205,21,FR-Cap,Summer,TSA_U
0.37042236,22,FR-Cap,Summer,TSA_U
0.37686157,23,FR-Cap,Summer,TSA_U
0.43936157,0,FR-Cap,Summer,TBUILD
0.44180298,1,FR-Cap,Summer,TBUILD
0.44482422,2,FR-Cap,Summer,TBUILD
0.4413147,3,FR-Cap,Summer,TBUILD
0.43826294,4,FR-Cap,Summer,TBUILD
0.43185425,5,FR-Cap,Summer,TBUILD
0.42736816,6,FR-Cap,Summer,TBUILD
0.4211731,7,FR-Cap,Summer,TBUILD
0.4142151,8,FR-Cap,Summer,TBUILD
0.41070557,9,FR-Cap,Summer,TBUILD
0.41177368,10,FR-Cap,Summer,TBUILD
0.40927124,11,FR-Cap,Summer,TBUILD
0.40719604,12,FR-Cap,Summer,TBUILD
0.40447998,13,FR-Cap,Summer,TBUILD
0.40319824,14,FR-Cap,Summer,TBUILD
0.4025879,15,FR-Cap,Summer,TBUILD
0.40429688,16,FR-Cap,Summer,TBUILD
0.4064026,17,FR-Cap,Summer,TBUILD
0.40701294,18,FR-Cap,Summer,TBUILD
0.41122437,19,FR-Cap,Summer,TBUILD
0.41412354,20,FR-Cap,Summer,TBUILD
0.4179077,21,FR-Cap,Summer,TBUILD
0.42666626,22,FR-Cap,Summer,TBUILD
0.43572998,23,FR-Cap,Summer,TBUILD
0.4739704,0,FR-Cap,Winter,TRAFFICFLUX
0.4747869,1,FR-Cap,Winter,TRAFFICFLUX
0.1577536,2,FR-Cap,Winter,TRAFFICFLUX
0.15767054,3,FR-Cap,Winter,TRAFFICFLUX
0.052618604,4,FR-Cap,Winter,TRAFFICFLUX
0.00018788458,5,FR-Cap,Winter,TRAFFICFLUX
0.0,6,FR-Cap,Winter,TRAFFICFLUX
0.10532117,7,FR-Cap,Winter,TRAFFICFLUX
0.4735741,8,FR-Cap,Winter,TRAFFICFLUX
0.78973144,9,FR-Cap,Winter,TRAFFICFLUX
1.0,10,FR-Cap,Winter,TRAFFICFLUX
0.79100156,11,FR-Cap,Winter,TRAFFICFLUX
0.789159,12,FR-Cap,Winter,TRAFFICFLUX
0.7895038,13,FR-Cap,Winter,TRAFFICFLUX
0.6323679,14,FR-Cap,Winter,TRAFFICFLUX
0.7117955,15,FR-Cap,Winter,TRAFFICFLUX
0.7923261,16,FR-Cap,Winter,TRAFFICFLUX
0.63194376,17,FR-Cap,Winter,TRAFFICFLUX
0.78918684,18,FR-Cap,Winter,TRAFFICFLUX
0.6847911,19,FR-Cap,Winter,TRAFFICFLUX
0.6340846,20,FR-Cap,Winter,TRAFFICFLUX
0.633068,21,FR-Cap,Winter,TRAFFICFLUX
0.6312722,22,FR-Cap,Winter,TRAFFICFLUX
0.4737319,23,FR-Cap,Winter,TRAFFICFLUX
0.77285767,0,FR-Cap,Winter,TG_U
0.7609558,1,FR-Cap,Winter,TG_U
0.69036865,2,FR-Cap,Winter,TG_U
0.6323242,3,FR-Cap,Winter,TG_U
0.5613098,4,FR-Cap,Winter,TG_U
0.4918518,5,FR-Cap,Winter,TG_U
0.4565735,6,FR-Cap,Winter,TG_U
0.45339966,7,FR-Cap,Winter,TG_U
0.52511597,8,FR-Cap,Winter,TG_U
0.62802124,9,FR-Cap,Winter,TG_U
0.780365,10,FR-Cap,Winter,TG_U
0.76519775,11,FR-Cap,Winter,TG_U
0.73495483,12,FR-Cap,Winter,TG_U
0.7354431,13,FR-Cap,Winter,TG_U
0.7191162,14,FR-Cap,Winter,TG_U
0.7113037,15,FR-Cap,Winter,TG_U
0.7050476,16,FR-Cap,Winter,TG_U
0.6779175,17,FR-Cap,Winter,TG_U
0.7124634,18,FR-Cap,Winter,TG_U
0.7387085,19,FR-Cap,Winter,TG_U
0.7545166,20,FR-Cap,Winter,TG_U
0.774353,21,FR-Cap,Winter,TG_U
0.79489136,22,FR-Cap,Winter,TG_U
0.7771301,23,FR-Cap,Winter,TG_U
0.6422119,0,FR-Cap,Winter,TSA_U
0.62841797,1,FR-Cap,Winter,TSA_U
0.60253906,2,FR-Cap,Winter,TSA_U
0.5376892,3,FR-Cap,Winter,TSA_U
0.48059082,4,FR-Cap,Winter,TSA_U
0.41531372,5,FR-Cap,Winter,TSA_U
0.37704468,6,FR-Cap,Winter,TSA_U
0.36968994,7,FR-Cap,Winter,TSA_U
0.3923645,8,FR-Cap,Winter,TSA_U
0.46551514,9,FR-Cap,Winter,TSA_U
0.57888794,10,FR-Cap,Winter,TSA_U
0.5291748,11,FR-Cap,Winter,TSA_U
0.455719,12,FR-Cap,Winter,TSA_U
0.3981018,13,FR-Cap,Winter,TSA_U
0.38009644,14,FR-Cap,Winter,TSA_U
0.35476685,15,FR-Cap,Winter,TSA_U
0.3725891,16,FR-Cap,Winter,TSA_U
0.394989,17,FR-Cap,Winter,TSA_U
0.4336853,18,FR-Cap,Winter,TSA_U
0.5326538,19,FR-Cap,Winter,TSA_U
0.5816345,20,FR-Cap,Winter,TSA_U
0.60806274,21,FR-Cap,Winter,TSA_U
0.64779663,22,FR-Cap,Winter,TSA_U
0.65426636,23,FR-Cap,Winter,TSA_U
0.0006713867,0,FR-Cap,Winter,TBUILD
0.0,1,FR-Cap,Winter,TBUILD
0.0,2,FR-Cap,Winter,TBUILD
0.0,3,FR-Cap,Winter,TBUILD
0.0,4,FR-Cap,Winter,TBUILD
0.0,5,FR-Cap,Winter,TBUILD
0.0,6,FR-Cap,Winter,TBUILD
0.0,7,FR-Cap,Winter,TBUILD
0.0,8,FR-Cap,Winter,TBUILD
0.0,9,FR-Cap,Winter,TBUILD
0.0,10,FR-Cap,Winter,TBUILD
0.0,11,FR-Cap,Winter,TBUILD
0.0,12,FR-Cap,Winter,TBUILD
0.0032043457,13,FR-Cap,Winter,TBUILD
0.0043945312,14,FR-Cap,Winter,TBUILD
0.005706787,15,FR-Cap,Winter,TBUILD
0.009246826,16,FR-Cap,Winter,TBUILD
0.013824463,17,FR-Cap,Winter,TBUILD
0.01361084,18,FR-Cap,Winter,TBUILD
0.0087890625,19,FR-Cap,Winter,TBUILD
0.0058898926,20,FR-Cap,Winter,TBUILD
0.0053710938,21,FR-Cap,Winter,TBUILD
0.0046691895,22,FR-Cap,Winter,TBUILD
0.0024108887,23,FR-Cap,Winter,TBUILD
0.33305454,0,UK-MCR,Summer,TRAFFICFLUX
0.16647258,1,UK-MCR,Summer,TRAFFICFLUX
0.16649629,2,UK-MCR,Summer,TRAFFICFLUX
0.0,3,UK-MCR,Summer,TRAFFICFLUX
2.9933426e-05,4,UK-MCR,Summer,TRAFFICFLUX
1.6464382e-05,5,UK-MCR,Summer,TRAFFICFLUX
0.0004985743,6,UK-MCR,Summer,TRAFFICFLUX
0.16702741,7,UK-MCR,Summer,TRAFFICFLUX
0.3335514,8,UK-MCR,Summer,TRAFFICFLUX
0.500151,9,UK-MCR,Summer,TRAFFICFLUX
0.66683596,10,UK-MCR,Summer,TRAFFICFLUX
0.66669923,11,UK-MCR,Summer,TRAFFICFLUX
0.83366114,12,UK-MCR,Summer,TRAFFICFLUX
0.8335078,13,UK-MCR,Summer,TRAFFICFLUX
0.8326674,14,UK-MCR,Summer,TRAFFICFLUX
0.83297646,15,UK-MCR,Summer,TRAFFICFLUX
0.99920964,16,UK-MCR,Summer,TRAFFICFLUX
0.9988907,17,UK-MCR,Summer,TRAFFICFLUX
1.0,18,UK-MCR,Summer,TRAFFICFLUX
0.832738,19,UK-MCR,Summer,TRAFFICFLUX
0.6664167,20,UK-MCR,Summer,TRAFFICFLUX
0.49987504,21,UK-MCR,Summer,TRAFFICFLUX
0.4998014,22,UK-MCR,Summer,TRAFFICFLUX
0.49977264,23,UK-MCR,Summer,TRAFFICFLUX
0.3005066,0,UK-MCR,Summer,TG_U
0.27713013,1,UK-MCR,Summer,TG_U
0.27374268,2,UK-MCR,Summer,TG_U
0.24850464,3,UK-MCR,Summer,TG_U
0.23120117,4,UK-MCR,Summer,TG_U
0.24588013,5,UK-MCR,Summer,TG_U
0.26974487,6,UK-MCR,Summer,TG_U
0.27511597,7,UK-MCR,Summer,TG_U
0.2710266,8,UK-MCR,Summer,TG_U
0.25250244,9,UK-MCR,Summer,TG_U
0.2803955,10,UK-MCR,Summer,TG_U
0.26669312,11,UK-MCR,Summer,TG_U
0.28372192,12,UK-MCR,Summer,TG_U
0.28683472,13,UK-MCR,Summer,TG_U
0.29260254,14,UK-MCR,Summer,TG_U
0.29501343,15,UK-MCR,Summer,TG_U
0.3279419,16,UK-MCR,Summer,TG_U
0.3416748,17,UK-MCR,Summer,TG_U
0.36550903,18,UK-MCR,Summer,TG_U
0.35635376,19,UK-MCR,Summer,TG_U
0.3397827,20,UK-MCR,Summer,TG_U
0.31051636,21,UK-MCR,Summer,TG_U
0.31228638,22,UK-MCR,Summer,TG_U
0.32043457,23,UK-MCR,Summer,TG_U
0.2442627,0,UK-MCR,Summer,TSA_U
0.26556396,1,UK-MCR,Summer,TSA_U
0.26730347,2,UK-MCR,Summer,TSA_U
0.2694397,3,UK-MCR,Summer,TSA_U
0.24203491,4,UK-MCR,Summer,TSA_U
0.23925781,5,UK-MCR,Summer,TSA_U
0.24124146,6,UK-MCR,Summer,TSA_U
0.2395935,7,UK-MCR,Summer,TSA_U
0.21224976,8,UK-MCR,Summer,TSA_U
0.1265564,9,UK-MCR,Summer,TSA_U
0.07525635,10,UK-MCR,Summer,TSA_U
0.06869507,11,UK-MCR,Summer,TSA_U
0.06265259,12,UK-MCR,Summer,TSA_U
0.066467285,13,UK-MCR,Summer,TSA_U
0.06881714,14,UK-MCR,Summer,TSA_U
