hour,value,site,season,case,var
0,20.941498,FR-Cap,Summer,cntl,TG_U
1,20.211182,FR-Cap,Summer,cntl,TG_U
2,19.609192,FR-Cap,Summer,cntl,TG_U
3,19.185486,FR-Cap,Summer,cntl,TG_U
4,18.584686,FR-Cap,Summer,cntl,TG_U
5,18.023743,FR-Cap,Summer,cntl,TG_U
6,17.958221,FR-Cap,Summer,cntl,TG_U
7,19.401154,FR-Cap,Summer,cntl,TG_U
8,22.310364,FR-Cap,Summer,cntl,TG_U
9,25.286926,FR-Cap,Summer,cntl,TG_U
10,30.842743,FR-Cap,Summer,cntl,TG_U
11,36.183655,FR-Cap,Summer,cntl,TG_U
12,39.12323,FR-Cap,Summer,cntl,TG_U
13,41.88925,FR-Cap,Summer,cntl,TG_U
14,43.027466,FR-Cap,Summer,cntl,TG_U
15,42.79361,FR-Cap,Summer,cntl,TG_U
16,40.859375,FR-Cap,Summer,cntl,TG_U
17,37.400543,FR-Cap,Summer,cntl,TG_U
18,34.87973,FR-Cap,Summer,cntl,TG_U
19,31.125885,FR-Cap,Summer,cntl,TG_U
20,27.314209,FR-Cap,Summer,cntl,TG_U
21,25.306152,FR-Cap,Summer,cntl,TG_U
22,23.140045,FR-Cap,Summer,cntl,TG_U
23,21.643402,FR-Cap,Summer,cntl,TG_U
0,21.986694,FR-Cap,Summer,cntl,TSA_U
1,21.22992,FR-Cap,Summer,cntl,TSA_U
2,20.610443,FR-Cap,Summer,cntl,TSA_U
3,20.164398,FR-Cap,Summer,cntl,TSA_U
4,19.557617,FR-Cap,Summer,cntl,TSA_U
5,19.02298,FR-Cap,Summer,cntl,TSA_U
6,18.780914,FR-Cap,Summer,cntl,TSA_U
7,18.96759,FR-Cap,Summer,cntl,TSA_U
8,19.948181,FR-Cap,Summer,cntl,TSA_U
9,21.153168,FR-Cap,Summer,cntl,TSA_U
10,23.496002,FR-Cap,Summer,cntl,TSA_U
11,25.792328,FR-Cap,Summer,cntl,TSA_U
12,27.04013,FR-Cap,Summer,cntl,TSA_U
13,28.54129,FR-Cap,Summer,cntl,TSA_U
14,29.572632,FR-Cap,Summer,cntl,TSA_U
15,29.949219,FR-Cap,Summer,cntl,TSA_U
16,30.134644,FR-Cap,Summer,cntl,TSA_U
17,29.658691,FR-Cap,Summer,cntl,TSA_U
18,29.153534,FR-Cap,Summer,cntl,TSA_U
19,28.028442,FR-Cap,Summer,cntl,TSA_U
20,26.545563,FR-Cap,Summer,cntl,TSA_U
21,25.413086,FR-Cap,Summer,cntl,TSA_U
22,23.879486,FR-Cap,Summer,cntl,TSA_U
23,22.615692,FR-Cap,Summer,cntl,TSA_U
0,26.521423,FR-Cap,Summer,cntl,TBUILD
1,26.063568,FR-Cap,Summer,cntl,TBUILD
2,25.658356,FR-Cap,Summer,cntl,TBUILD
3,25.361694,FR-Cap,Summer,cntl,TBUILD
4,24.871704,FR-Cap,Summer,cntl,TBUILD
5,24.384918,FR-Cap,Summer,cntl,TBUILD
6,24.098816,FR-Cap,Summer,cntl,TBUILD
7,23.780884,FR-Cap,Summer,cntl,TBUILD
8,23.58554,FR-Cap,Summer,cntl,TBUILD
9,23.573395,FR-Cap,Summer,cntl,TBUILD
10,23.785156,FR-Cap,Summer,cntl,TBUILD
11,24.241486,FR-Cap,Summer,cntl,TBUILD
12,24.637665,FR-Cap,Summer,cntl,TBUILD
13,25.297089,FR-Cap,Summer,cntl,TBUILD
14,25.977936,FR-Cap,Summer,cntl,TBUILD
15,26.46289,FR-Cap,Summer,cntl,TBUILD
16,27.191193,FR-Cap,Summer,cntl,TBUILD
17,27.768768,FR-Cap,Summer,cntl,TBUILD
18,28.014954,FR-Cap,Summer,cntl,TBUILD
19,28.148743,FR-Cap,Summer,cntl,TBUILD
20,28.093689,FR-Cap,Summer,cntl,TBUILD
21,27.89914,FR-Cap,Summer,cntl,TBUILD
22,27.425995,FR-Cap,Summer,cntl,TBUILD
23,26.862457,FR-Cap,Summer,cntl,TBUILD
0,4.2862854,FR-Cap,Winter,cntl,TG_U
1,4.129883,FR-Cap,Winter,cntl,TG_U
2,3.859253,FR-Cap,Winter,cntl,TG_U
3,3.7705383,FR-Cap,Winter,cntl,TG_U
4,3.6225586,FR-Cap,Winter,cntl,TG_U
5,3.5043335,FR-Cap,Winter,cntl,TG_U
6,3.434723,FR-Cap,Winter,cntl,TG_U
7,3.350586,FR-Cap,Winter,cntl,TG_U
8,3.2608948,FR-Cap,Winter,cntl,TG_U
9,3.5615234,FR-Cap,Winter,cntl,TG_U
10,5.350281,FR-Cap,Winter,cntl,TG_U
11,7.896637,FR-Cap,Winter,cntl,TG_U
12,9.398132,FR-Cap,Winter,cntl,TG_U
13,10.790192,FR-Cap,Winter,cntl,TG_U
14,11.684601,FR-Cap,Winter,cntl,TG_U
15,11.666382,FR-Cap,Winter,cntl,TG_U
16,10.801666,FR-Cap,Winter,cntl,TG_U
17,8.848907,FR-Cap,Winter,cntl,TG_U
18,7.5393677,FR-Cap,Winter,cntl,TG_U
19,6.3010864,FR-Cap,Winter,cntl,TG_U
20,5.539337,FR-Cap,Winter,cntl,TG_U
21,5.2038574,FR-Cap,Winter,cntl,TG_U
22,4.830414,FR-Cap,Winter,cntl,TG_U
23,4.495819,FR-Cap,Winter,cntl,TG_U
0,5.3213196,FR-Cap,Winter,cntl,TSA_U
1,5.157654,FR-Cap,Winter,cntl,TSA_U
2,4.887207,FR-Cap,Winter,cntl,TSA_U
3,4.7278748,FR-Cap,Winter,cntl,TSA_U
4,4.5410156,FR-Cap,Winter,cntl,TSA_U
5,4.359314,FR-Cap,Winter,cntl,TSA_U
6,4.2391357,FR-Cap,Winter,cntl,TSA_U
7,4.151764,FR-Cap,Winter,cntl,TSA_U
8,4.041443,FR-Cap,Winter,cntl,TSA_U
9,4.0595703,FR-Cap,Winter,cntl,TSA_U
10,4.6913147,FR-Cap,Winter,cntl,TSA_U
11,5.936035,FR-Cap,Winter,cntl,TSA_U
12,6.8074646,FR-Cap,Winter,cntl,TSA_U
13,7.8009644,FR-Cap,Winter,cntl,TSA_U
14,8.559784,FR-Cap,Winter,cntl,TSA_U
15,8.887726,FR-Cap,Winter,cntl,TSA_U
16,8.957977,FR-Cap,Winter,cntl,TSA_U
17,8.466675,FR-Cap,Winter,cntl,TSA_U
18,7.942444,FR-Cap,Winter,cntl,TSA_U
19,7.2000732,FR-Cap,Winter,cntl,TSA_U
20,6.6297913,FR-Cap,Winter,cntl,TSA_U
21,6.310913,FR-Cap,Winter,cntl,TSA_U
22,5.9191895,FR-Cap,Winter,cntl,TSA_U
23,5.544983,FR-Cap,Winter,cntl,TSA_U
0,11.950012,FR-Cap,Winter,cntl,TBUILD
1,11.950012,FR-Cap,Winter,cntl,TBUILD
2,11.950012,FR-Cap,Winter,cntl,TBUILD
3,11.950012,FR-Cap,Winter,cntl,TBUILD
4,11.950012,FR-Cap,Winter,cntl,TBUILD
5,11.950012,FR-Cap,Winter,cntl,TBUILD
6,11.950012,FR-Cap,Winter,cntl,TBUILD
7,11.950012,FR-Cap,Winter,cntl,TBUILD
8,11.950012,FR-Cap,Winter,cntl,TBUILD
9,11.950012,FR-Cap,Winter,cntl,TBUILD
10,11.950012,FR-Cap,Winter,cntl,TBUILD
11,11.950012,FR-Cap,Winter,cntl,TBUILD
12,11.950012,FR-Cap,Winter,cntl,TBUILD
13,11.950714,FR-Cap,Winter,cntl,TBUILD
14,11.953888,FR-Cap,Winter,cntl,TBUILD
15,11.95694,FR-Cap,Winter,cntl,TBUILD
16,11.960999,FR-Cap,Winter,cntl,TBUILD
17,11.961487,FR-Cap,Winter,cntl,TBUILD
18,11.960571,FR-Cap,Winter,cntl,TBUILD
19,11.958527,FR-Cap,Winter,cntl,TBUILD
20,11.955872,FR-Cap,Winter,cntl,TBUILD
21,11.953644,FR-Cap,Winter,cntl,TBUILD
22,11.95047,FR-Cap,Winter,cntl,TBUILD
23,11.950012,FR-Cap,Winter,cntl,TBUILD
0,20.05289,FR-Cap,Summer,traffic,TRAFFICFLUX
1,20.080185,FR-Cap,Summer,traffic,TRAFFICFLUX
2,10.0260315,FR-Cap,Summer,traffic,TRAFFICFLUX
3,10.0267,FR-Cap,Summer,traffic,TRAFFICFLUX
4,6.6855574,FR-Cap,Summer,traffic,TRAFFICFLUX
5,5.013617,FR-Cap,Summer,traffic,TRAFFICFLUX
6,5.0118833,FR-Cap,Summer,traffic,TRAFFICFLUX
