hour,value,site,season,case,var
0,0.11900145,FR-Cap,Summer,cntl,TG_U
1,0.08986949,FR-Cap,Summer,cntl,TG_U
2,0.06585641,FR-Cap,Summer,cntl,TG_U
3,0.048954982,FR-Cap,Summer,cntl,TG_U
4,0.02498938,FR-Cap,Summer,cntl,TG_U
5,0.0026136106,FR-Cap,Summer,cntl,TG_U
6,0.0,FR-Cap,Summer,cntl,TG_U
7,0.057557862,FR-Cap,Summer,cntl,TG_U
8,0.17360485,FR-Cap,Summer,cntl,TG_U
9,0.2923385,FR-Cap,Summer,cntl,TG_U
10,0.5139573,FR-Cap,Summer,cntl,TG_U
11,0.7270037,FR-Cap,Summer,cntl,TG_U
12,0.84426194,FR-Cap,Summer,cntl,TG_U
13,0.9545972,FR-Cap,Summer,cntl,TG_U
14,1.0,FR-Cap,Summer,cntl,TG_U
15,0.9906716,FR-Cap,Summer,cntl,TG_U
16,0.9135159,FR-Cap,Summer,cntl,TG_U
17,0.77554476,FR-Cap,Summer,cntl,TG_U
18,0.6749908,FR-Cap,Summer,cntl,TG_U
19,0.5252517,FR-Cap,Summer,cntl,TG_U
20,0.3732058,FR-Cap,Summer,cntl,TG_U
21,0.2931054,FR-Cap,Summer,cntl,TG_U
22,0.20670043,FR-Cap,Summer,cntl,TG_U
23,0.14700007,FR-Cap,Summer,cntl,TG_U
0,0.2823548,FR-Cap,Summer,cntl,TSA_U
1,0.2157005,FR-Cap,Summer,cntl,TSA_U
2,0.16113903,FR-Cap,Summer,cntl,TSA_U
3,0.121852815,FR-Cap,Summer,cntl,TSA_U
4,0.068409495,FR-Cap,Summer,cntl,TSA_U
5,0.021320345,FR-Cap,Summer,cntl,TSA_U
6,0.0,FR-Cap,Summer,cntl,TSA_U
7,0.016441824,FR-Cap,Summer,cntl,TSA_U
8,0.102809116,FR-Cap,Summer,cntl,TSA_U
9,0.20894046,FR-Cap,Summer,cntl,TSA_U
10,0.4152898,FR-Cap,Summer,cntl,TSA_U
11,0.6175428,FR-Cap,Summer,cntl,TSA_U
12,0.72744524,FR-Cap,Summer,cntl,TSA_U
13,0.85966253,FR-Cap,Summer,cntl,TSA_U
14,0.95049983,FR-Cap,Summer,cntl,TSA_U
15,0.9836684,FR-Cap,Summer,cntl,TSA_U
16,1.0,FR-Cap,Summer,cntl,TSA_U
17,0.95807964,FR-Cap,Summer,cntl,TSA_U
18,0.91358703,FR-Cap,Summer,cntl,TSA_U
19,0.8144926,FR-Cap,Summer,cntl,TSA_U
20,0.6838853,FR-Cap,Summer,cntl,TSA_U
21,0.58414036,FR-Cap,Summer,cntl,TSA_U
22,0.44906583,FR-Cap,Summer,cntl,TSA_U
23,0.3377549,FR-Cap,Summer,cntl,TSA_U
0,0.64432883,FR-Cap,Summer,cntl,TBUILD
1,0.5442588,FR-Cap,Summer,cntl,TBUILD
2,0.45569453,FR-Cap,Summer,cntl,TBUILD
3,0.39085543,FR-Cap,Summer,cntl,TBUILD
4,0.2837619,FR-Cap,Summer,cntl,TBUILD
5,0.17736869,FR-Cap,Summer,cntl,TBUILD
6,0.114837416,FR-Cap,Summer,cntl,TBUILD
7,0.04534934,FR-Cap,Summer,cntl,TBUILD
8,0.0026546607,FR-Cap,Summer,cntl,TBUILD
9,0.0,FR-Cap,Summer,cntl,TBUILD
10,0.04628314,FR-Cap,Summer,cntl,TBUILD
11,0.14601968,FR-Cap,Summer,cntl,TBUILD
12,0.23260964,FR-Cap,Summer,cntl,TBUILD
13,0.37673503,FR-Cap,Summer,cntl,TBUILD
14,0.5255428,FR-Cap,Summer,cntl,TBUILD
15,0.63153577,FR-Cap,Summer,cntl,TBUILD
16,0.79071534,FR-Cap,Summer,cntl,TBUILD
17,0.91695184,FR-Cap,Summer,cntl,TBUILD
18,0.97075874,FR-Cap,Summer,cntl,TBUILD
19,1.0,FR-Cap,Summer,cntl,TBUILD
20,0.9879673,FR-Cap,Summer,cntl,TBUILD
21,0.9454461,FR-Cap,Summer,cntl,TBUILD
22,0.84203434,FR-Cap,Summer,cntl,TBUILD
