time,LWup,Qh,Qle,Qtau,case
2004-06-27 00:30:00,442.71033,8.233,-6.798,0.02868478,obs
2004-06-27 01:00:00,440.285,3.981,-2.98,0.043123975,obs
2004-06-27 01:30:00,436.78232,52.473,,0.21048702,obs
2004-06-27 02:00:00,431.655,68.547,-13.936,0.26760063,obs
2004-06-27 02:30:00,427.584,64.076,-2.557,0.22111078,obs
2004-06-27 03:00:00,425.302,58.61,-4.731,0.20821531,obs
2004-06-27 03:30:00,423.27267,49.874,-0.368,0.1332568,obs
2004-06-27 04:00:00,421.09366,63.031,-3.834,0.14670935,obs
2004-06-27 04:30:00,419.775,44.418,-0.978,0.09504164,obs
2004-06-27 05:00:00,419.122,40.08,-0.759,0.1035493,obs
2004-06-27 05:30:00,421.086,60.453,-1.21,0.0989372,obs
2004-06-27 06:00:00,425.18533,72.366,1.521,0.13692616,obs
2004-06-27 06:30:00,431.086,96.264,8.993,0.146625,obs
2004-06-27 07:00:00,440.56134,101.436,7.883,0.1152221,obs
2004-06-27 07:30:00,448.545,104.785,22.33,0.08808388,obs
2004-06-27 08:00:00,464.87732,173.995,46.508,0.122397326,obs
2004-06-27 08:30:00,475.92368,170.558,14.2,0.08509902,obs
2004-06-27 09:00:00,487.512,213.097,9.563,0.0996518,obs
2004-06-27 09:30:00,498.893,246.697,-8.016,0.12170084,obs
2004-06-27 10:00:00,512.99634,254.729,18.448,0.0609171,obs
2004-06-27 10:30:00,522.64966,232.671,-2.287,0.048598573,obs
2004-06-27 11:00:00,534.94366,391.126,12.664,0.15804403,obs
2004-06-27 11:30:00,542.914,254.952,24.436,0.032596808,obs
2004-06-27 12:00:00,549.2883,309.65,9.796,0.10663781,obs
2004-06-27 12:30:00,553.99567,293.255,34.345,0.08681787,obs
2004-06-27 13:00:00,557.5867,284.346,30.081,0.09691531,obs
2004-06-27 13:30:00,559.5853,302.914,7.273,0.0953053,obs
2004-06-27 14:00:00,560.6407,288.377,5.912,0.06204593,obs
2004-06-27 14:30:00,555.9923,252.806,54.128,0.08335049,obs
2004-06-27 15:00:00,552.1357,245.052,23.694,0.1065856,obs
2004-06-27 15:30:00,549.012,230.389,7.827,0.19259523,obs
2004-06-27 16:00:00,538.646,229.822,-2.448,0.1127793,obs
2004-06-27 16:30:00,529.15265,202.612,12.349,0.14094909,obs
2004-06-27 17:00:00,517.73267,135.291,12.14,0.23066378,obs
2004-06-27 17:30:00,507.926,141.635,17.995,0.22704387,obs
2004-06-27 18:00:00,495.843,94.394,29.742,0.2585116,obs
2004-06-27 18:30:00,490.41968,84.25,20.608,0.24359755,obs
2004-06-27 19:00:00,483.20468,54.437,11.748,0.21429974,obs
2004-06-27 19:30:00,474.893,34.151,9.213,0.19168858,obs
2004-06-27 20:00:00,468.647,28.749,10.047,0.18820842,obs
2004-06-27 20:30:00,463.222,33.106,19.533,0.2952939,obs
2004-06-27 21:00:00,458.90366,24.189,9.873,0.27910525,obs
2004-06-27 21:30:00,455.21667,26.204,2.086,0.32910836,obs
2004-06-27 22:00:00,452.13333,36.162,2.604,0.21325293,obs
2004-06-27 22:30:00,449.515,31.379,0.212,0.23195879,obs
2004-06-27 23:00:00,447.781,25.411,3.169,0.13016464,obs
2004-06-27 23:30:00,445.072,23.145,0.954,0.08857467,obs
2004-06-28 00:00:00,442.49533,28.127,7.754,0.098532386,obs
2004-06-28 00:30:00,443.68066,20.932,10.693,0.046733778,obs
2004-06-28 01:00:00,445.55267,29.008,8.805,0.088441536,obs
2004-06-28 01:30:00,443.99234,39.592,12.972,0.15384576,obs
2004-06-28 02:00:00,442.34067,30.144,3.835,0.11141635,obs
2004-06-28 02:30:00,440.99466,28.377,7.988,0.06848344,obs
2004-06-28 03:00:00,438.99768,32.923,12.753,0.08189568,obs
2004-06-28 03:30:00,439.11432,40.268,10.944,0.081371814,obs
2004-06-28 04:00:00,438.38733,37.049,15.795,0.12305913,obs
2004-06-28 04:30:00,436.69135,41.145,19.418,0.16568796,obs
2004-06-28 05:00:00,435.61368,56.511,23.701,0.19650093,obs
2004-06-28 05:30:00,434.94366,58.328,13.94,0.15524517,obs
2004-06-28 06:00:00,433.78333,48.905,7.759,0.12389619,obs
2004-06-28 06:30:00,433.72534,87.195,-0.394,0.17394012,obs
2004-06-28 07:00:00,441.92834,121.283,33.593,0.2381891,obs
2004-06-28 07:30:00,443.47266,103.866,17.764,0.20394297,obs
2004-06-28 08:00:00,451.015,98.217,7.91,0.110744365,obs
2004-06-28 08:30:00,457.95,140.263,21.059,0.15437266,obs
2004-06-28 09:00:00,471.471,203.181,7.341,0.15248668,obs
2004-06-28 09:30:00,490.06833,245.738,27.721,0.16822645,obs
2004-06-28 10:00:00,504.969,249.318,10.978,0.16179872,obs
2004-06-28 10:30:00,520.42,239.973,21.159,0.19598834,obs
2004-06-28 11:00:00,519.5257,345.51,51.875,0.24687298,obs
2004-06-28 11:30:00,531.3643,326.679,38.157,0.2473644,obs
2004-06-28 12:00:00,539.51666,275.103,,0.16727415,obs
2004-06-28 12:30:00,546.68066,315.604,,0.13824159,obs
2004-06-28 13:00:00,549.7113,312.145,47.542,0.20908439,obs
2004-06-28 13:30:00,550.658,261.911,22.358,0.21605614,obs
2004-06-28 14:00:00,546.444,302.274,29.276,0.17714807,obs
2004-06-28 14:30:00,541.87,256.158,18.106,0.16882049,obs
2004-06-28 15:00:00,537.64465,279.733,37.378,0.13863571,obs
2004-06-28 15:30:00,532.7737,319.077,33.491,0.29275966,obs
2004-06-28 16:00:00,523.42035,179.394,26.972,0.18182401,obs
2004-06-28 16:30:00,514.16736,200.532,32.046,0.23629831,obs
2004-06-28 17:00:00,505.19534,175.739,27.953,0.35646042,obs
2004-06-28 17:30:00,494.119,155.419,27.494,0.35185492,obs
2004-06-28 18:00:00,481.419,139.336,40.755,0.48728824,obs
2004-06-28 18:30:00,471.25665,108.348,42.773,0.47368714,obs
2004-06-28 19:00:00,465.02133,79.507,28.673,0.42162085,obs
2004-06-28 19:30:00,457.649,63.948,20.023,0.31994414,obs
2004-06-28 20:00:00,450.069,53.326,29.493,0.2566481,obs
2004-06-28 20:30:00,447.813,53.42,15.679,0.23632537,obs
2004-06-28 21:00:00,445.273,40.26,29.126,0.1557947,obs
2004-06-28 21:30:00,442.351,34.258,24.314,0.11991941,obs
2004-06-28 22:00:00,440.65634,39.548,28.431,0.10052225,obs
2004-06-28 22:30:00,436.778,46.846,23.909,0.12229848,obs
2004-06-28 23:00:00,434.175,40.659,22.986,0.079623796,obs
2004-06-28 23:30:00,432.94766,40.33,23.554,0.09514866,obs
2004-06-29 00:00:00,433.083,39.738,18.003,0.09123477,obs
2004-06-29 00:30:00,435.17834,42.87,9.996,0.1325173,obs
2004-06-29 01:00:00,434.85565,47.512,10.801,0.20127249,obs
2004-06-29 01:30:00,432.89465,44.281,4.885,0.14388765,obs
2004-06-29 02:00:00,431.36368,41.176,8.062,0.13562866,obs
2004-06-29 02:30:00,429.556,48.514,9.466,0.13965073,obs
2004-06-29 03:00:00,429.071,43.702,9.005,0.119979694,obs
2004-06-29 03:30:00,429.02567,53.532,13.357,0.10295911,obs
2004-06-29 04:00:00,427.919,56.46,18.763,0.13145894,obs
2004-06-29 04:30:00,427.169,48.612,22.797,0.10579705,obs
2004-06-29 05:00:00,427.40866,41.039,26.465,0.07280631,obs
2004-06-29 05:30:00,428.46335,48.721,30.265,0.119781986,obs
2004-06-29 06:00:00,429.96866,64.82,24.255,0.119719304,obs
2004-06-29 06:30:00,434.01367,86.751,22.558,0.13531604,obs
2004-06-29 07:00:00,440.55167,87.161,21.351,0.121104494,obs
2004-06-29 07:30:00,449.46567,108.653,18.603,0.067620106,obs
2004-06-29 08:00:00,462.617,140.116,21.651,0.101416655,obs
2004-06-29 08:30:00,476.258,197.36,51.043,0.15696755,obs
2004-06-29 09:00:00,488.80832,152.94,32.578,0.053602677,obs
2004-06-29 09:30:00,502.314,196.579,18.418,0.09288564,obs
2004-06-29 10:00:00,516.44965,253.823,35.352,0.1185467,obs
2004-06-29 10:30:00,525.68066,265.337,17.293,0.048080698,obs
2004-06-29 11:00:00,534.54565,313.937,41.282,0.12782127,obs
2004-06-29 11:30:00,542.877,332.084,51.06,0.22721384,obs
2004-06-29 12:00:00,546.12964,243.543,41.973,0.13406903,obs
2004-06-29 12:30:00,553.3,259.263,36.853,0.044766735,obs
2004-06-29 13:00:00,555.9713,324.857,52.591,0.025138136,obs
2004-06-29 13:30:00,561.02,354.558,50.174,0.0697728,obs
2004-06-29 14:00:00,561.06866,295.06,,0.17897877,obs
2004-06-29 14:30:00,560.221,261.725,,0.09801775,obs
2004-06-29 15:00:00,555.007,185.655,53.102,0.07439282,obs
2004-06-29 15:30:00,549.0183,228.311,6.848,0.11935738,obs
2004-06-29 16:00:00,537.8643,216.122,,0.057958562,obs
2004-06-29 16:30:00,528.934,179.554,,0.06298795,obs
2004-06-29 17:00:00,519.10065,136.786,,0.056284547,obs
2004-06-29 17:30:00,507.49432,146.138,71.273,0.025593894,obs
2004-06-29 18:00:00,496.88968,109.565,-13.101,0.05759451,obs
2004-06-29 18:30:00,485.67032,79.05,32.999,0.107105546,obs
2004-06-29 19:00:00,475.25333,39.958,27.513,0.05236186,obs
2004-06-29 19:30:00,466.49,28.568,19.396,0.07852091,obs
2004-06-29 20:00:00,460.027,12.454,41.89,0.042310596,obs
2004-06-29 20:30:00,454.56934,0.826,13.382,0.023775639,obs
2004-06-29 21:00:00,450.594,-1.423,21.979,0.014444377,obs
2004-06-29 21:30:00,447.11667,-4.661,7.623,0.018418677,obs
2004-06-29 22:00:00,443.471,-4.661,12.439,0.032920122,obs
2004-06-29 22:30:00,439.52734,-3.697,12.952,0.021457337,obs
2004-06-29 23:00:00,435.33133,3.948,9.666,0.024469865,obs
2004-06-29 23:30:00,432.64368,-3.742,38.558,0.015923865,obs
2004-06-30 00:00:00,429.08234,17.323,18.39,0.0072193267,obs
2004-06-30 00:30:00,422.90234,3.723,5.979,0.010427907,obs
2004-06-30 01:00:00,419.004,8.74,-0.983,0.034525394,obs
2004-06-30 01:30:00,416.76,19.061,4.208,0.054332636,obs
2004-06-30 02:00:00,414.692,8.171,2.833,0.04231001,obs
2004-06-30 02:30:00,413.07535,13.199,-4.643,0.041914158,obs
2004-06-30 03:00:00,411.64435,17.569,26.534,0.052139778,obs
2004-06-30 03:30:00,409.66034,26.228,1.425,0.041488778,obs
2004-06-30 04:00:00,408.443,23.21,2.516,0.030153623,obs
2004-06-30 04:30:00,407.149,32.203,8.287,0.012498531,obs
2004-06-30 05:00:00,406.905,58.878,29.774,0.04915753,obs
2004-06-30 05:30:00,408.646,44.665,-2.976,0.014380742,obs
2004-06-30 06:00:00,416.12466,109.26,5.101,0.033416342,obs
2004-06-30 06:30:00,427.021,81.173,0.376,0.010587928,obs
2004-06-30 07:00:00,439.123,97.573,-15.234,0.024013814,obs
2004-06-30 07:30:00,452.694,83.872,-5.411,0.014948552,obs
2004-06-30 08:00:00,470.417,155.785,,0.021131774,obs
2004-06-30 08:30:00,487.646,150.924,44.865,0.05454447,obs
2004-06-30 09:00:00,499.91165,179.271,9.941,0.07118472,obs
2004-06-30 09:30:00,514.99634,214.354,56.173,0.07738159,obs
2004-06-30 10:00:00,527.993,216.328,30.871,0.09757987,obs
2004-06-30 10:30:00,539.1483,215.601,62.157,0.1365654,obs
2004-06-30 11:00:00,550.08234,235.528,107.54,0.12933484,obs
2004-06-30 11:30:00,558.11865,280.436,79.476,0.036642272,obs
2004-06-30 12:00:00,564.867,245.422,68.355,0.009706897,obs
2004-06-30 12:30:00,570.298,287.776,26.097,0.09757965,obs
2004-06-30 13:00:00,571.1827,350.089,26.037,0.19579615,obs
2004-06-30 13:30:00,572.51,349.366,137.288,0.17145003,obs
2004-06-30 14:00:00,572.39,318.948,60.651,0.26122603,obs
2004-06-30 14:30:00,568.2897,302.897,103.631,0.23745455,obs
2004-06-30 15:00:00,565.44965,287.353,46.663,0.1116793,obs
2004-06-30 15:30:00,556.26636,234.262,37.373,0.27407262,obs
2004-06-30 16:00:00,544.033,188.597,27.649,0.25313246,obs
2004-06-30 16:30:00,533.67065,183.825,33.321,0.17485267,obs
2004-06-30 17:00:00,522.9037,139.498,7.305,0.19467556,obs
2004-06-30 17:30:00,512.3153,152.623,59.83,0.25299412,obs
2004-06-30 18:00:00,502.18466,155.476,11.283,0.34111747,obs
2004-06-30 18:30:00,494.56134,97.354,-19.942,0.44812474,obs
2004-06-30 19:00:00,481.455,77.993,-28.646,0.5406292,obs
2004-06-30 19:30:00,470.89,110.645,25.649,0.74248356,obs
2004-06-30 20:00:00,461.69067,110.986,34.194,,obs
2004-06-30 20:30:00,453.57434,74.613,68.379,0.52003574,obs
2004-06-30 21:00:00,449.78033,60.865,46.326,0.39439124,obs
2004-06-30 21:30:00,447.12466,61.634,14.347,0.33421743,obs
2004-06-30 22:00:00,439.034,78.305,20.787,0.39046907,obs
