time,LWup,Qh,Qle,Qtau,case
2005-01-02 00:30:00,363.25967,32.669,15.301,0.11212146,obs
2005-01-02 01:00:00,361.86835,28.988,14.888,0.14039738,obs
2005-01-02 01:30:00,361.679,25.011,4.985,0.13577403,obs
2005-01-02 02:00:00,361.89932,24.748,8.458,0.14317793,obs
2005-01-02 02:30:00,361.63968,22.849,7.833,0.13005319,obs
2005-01-02 03:00:00,361.24133,13.028,4.383,0.089006364,obs
2005-01-02 03:30:00,362.23532,11.59,5.499,0.16945006,obs
2005-01-02 04:00:00,362.93332,11.939,0.311,0.17919326,obs
2005-01-02 04:30:00,362.34134,16.522,1.129,0.11463738,obs
2005-01-02 05:00:00,361.80066,12.969,2.83,0.14881535,obs
2005-01-02 05:30:00,362.03134,12.544,4.775,0.15374821,obs
2005-01-02 06:00:00,363.08368,4.909,-4.86,0.18699834,obs
2005-01-02 06:30:00,362.87668,12.532,2.434,0.34719238,obs
2005-01-02 07:00:00,363.449,22.158,-11.643,0.2206897,obs
2005-01-02 07:30:00,364.75867,5.54,-3.743,0.12532428,obs
2005-01-02 08:00:00,365.502,10.897,4.321,0.13566484,obs
2005-01-02 08:30:00,367.30167,20.02,-0.883,0.20211458,obs
2005-01-02 09:00:00,368.70932,25.933,16.393,0.21513036,obs
2005-01-02 09:30:00,370.92267,33.372,4.707,0.21765237,obs
2005-01-02 10:00:00,374.76767,34.58,6.385,0.20468326,obs
2005-01-02 10:30:00,378.489,64.65,13.413,0.32036814,obs
2005-01-02 11:00:00,384.415,70.143,28.117,0.26393813,obs
2005-01-02 11:30:00,388.99466,72.663,23.316,0.27642018,obs
2005-01-02 12:00:00,385.542,54.043,28.325,0.2975289,obs
2005-01-02 12:30:00,378.55,37.991,,0.3104664,obs
2005-01-02 13:00:00,378.528,52.11,,0.17811915,obs
2005-01-02 13:30:00,379.30832,52.722,,0.22909069,obs
2005-01-02 14:00:00,379.04166,37.351,23.513,0.15733954,obs
2005-01-02 14:30:00,377.483,41.59,36.921,0.28738952,obs
2005-01-02 15:00:00,375.67065,25.161,26.319,0.25038132,obs
2005-01-02 15:30:00,372.56,44.401,35.393,0.42581102,obs
2005-01-02 16:00:00,367.22968,39.479,,0.2499331,obs
2005-01-02 16:30:00,362.46634,26.788,-0.448,0.2569532,obs
2005-01-02 17:00:00,362.97833,33.774,-5.57,0.3663487,obs
2005-01-02 17:30:00,359.84534,48.483,,0.33987585,obs
2005-01-02 18:00:00,359.29767,13.86,,0.1605898,obs
2005-01-02 18:30:00,358.12134,12.16,,0.17220736,obs
2005-01-02 19:00:00,356.36066,23.735,16.413,0.14194243,obs
2005-01-02 19:30:00,356.99966,27.238,22.098,0.16265854,obs
2005-01-02 20:00:00,357.43066,33.321,16.352,0.18407398,obs
2005-01-02 20:30:00,357.642,51.575,,0.22160983,obs
2005-01-02 21:00:00,357.123,19.7,17.052,0.16472852,obs
2005-01-02 21:30:00,356.46167,24.785,14.452,0.1404073,obs
2005-01-02 22:00:00,356.56732,32.098,6.877,0.13441877,obs
2005-01-02 22:30:00,355.62668,21.537,7.512,0.14700429,obs
2005-01-02 23:00:00,351.089,18.554,3.991,0.15375894,obs
2005-01-02 23:30:00,348.678,24.343,4.984,0.14468016,obs
2005-01-03 00:00:00,347.05667,23.9,7.213,0.14458546,obs
2005-01-03 00:30:00,345.23468,14.188,3.895,0.15618084,obs
2005-01-03 01:00:00,344.88165,28.641,6.249,0.24427311,obs
2005-01-03 01:30:00,346.31067,8.502,5.773,0.10099539,obs
2005-01-03 02:00:00,342.97134,25.855,1.552,0.100360885,obs
2005-01-03 02:30:00,340.94034,23.231,2.055,0.09583223,obs
2005-01-03 03:00:00,339.596,32.943,0.766,0.08928978,obs
2005-01-03 03:30:00,338.47433,19.456,-1.505,0.064752035,obs
2005-01-03 04:00:00,337.526,42.908,-1.422,0.107320234,obs
2005-01-03 04:30:00,336.243,43.532,,0.045230966,obs
2005-01-03 05:00:00,336.77,32.383,,0.031777207,obs
2005-01-03 05:30:00,338.92065,45.183,-21.304,0.049765814,obs
2005-01-03 06:00:00,340.311,40.367,-18.99,0.018426526,obs
2005-01-03 06:30:00,340.113,59.915,-18.071,0.018896336,obs
2005-01-03 07:00:00,339.165,70.853,-23.521,0.030114127,obs
2005-01-03 07:30:00,339.67233,41.619,-4.652,0.0056017665,obs
2005-01-03 08:00:00,341.27432,140.219,-24.856,0.050031357,obs
2005-01-03 08:30:00,342.45334,80.324,-28.145,0.0020154763,obs
2005-01-03 09:00:00,343.83267,132.259,,0.024810528,obs
2005-01-03 09:30:00,346.527,125.97,,0.015394297,obs
2005-01-03 10:00:00,349.20868,150.644,0.964,0.05194994,obs
2005-01-03 10:30:00,352.46768,151.538,5.238,0.060745843,obs
2005-01-03 11:00:00,354.01334,85.589,7.99,0.033843532,obs
2005-01-03 11:30:00,361.14734,130.927,14.76,0.035863888,obs
2005-01-03 12:00:00,364.17166,114.765,17.203,0.0320334,obs
2005-01-03 12:30:00,370.619,164.059,20.434,0.012390704,obs
2005-01-03 13:00:00,372.934,186.993,37.576,0.03857199,obs
2005-01-03 13:30:00,377.26666,140.571,46.409,0.008818248,obs
2005-01-03 14:00:00,376.901,119.45,70.952,0.02693425,obs
2005-01-03 14:30:00,371.39966,168.475,35.626,0.12520148,obs
2005-01-03 15:00:00,367.84668,104.137,29.146,0.047589064,obs
2005-01-03 15:30:00,363.55334,63.205,27.57,0.04017303,obs
2005-01-03 16:00:00,357.404,77.012,29.917,0.09086629,obs
2005-01-03 16:30:00,352.555,45.421,22.304,0.060705878,obs
2005-01-03 17:00:00,348.33368,11.513,9.178,0.031384885,obs
2005-01-03 17:30:00,346.2,21.187,10.879,0.057592995,obs
