month,case,site,variable,value
1,AH4GUC,FR-Capitole,AHF,48.10851
1,AH4GUC,FR-Capitole,traffic_contribution,
1,AH4GUC,UK-Manchester,AHF,23.91677
1,AH4GUC,UK-Manchester,traffic_contribution,
1,cntl,FR-Capitole,AHF,19.601595158444628
1,cntl,FR-Capitole,traffic_contribution,0.0
1,cntl,UK-Manchester,AHF,21.616600389121682
1,cntl,UK-Manchester,traffic_contribution,
1,traffic,FR-Capitole,AHF,39.70493575642186
1,traffic,FR-Capitole,traffic_contribution,57.25992204192483
1,traffic,UK-Manchester,AHF,37.25009758266129
1,traffic,UK-Manchester,traffic_contribution,41.49642753515152
2,AH4GUC,FR-Capitole,AHF,48.22127
2,AH4GUC,FR-Capitole,traffic_contribution,
2,AH4GUC,UK-Manchester,AHF,24.29349
2,AH4GUC,UK-Manchester,traffic_contribution,
2,cntl,FR-Capitole,AHF,20.54039469133819
2,cntl,FR-Capitole,traffic_contribution,0.0
2,cntl,UK-Manchester,AHF,17.883802168426058
2,cntl,UK-Manchester,traffic_contribution,
2,traffic,FR-Capitole,AHF,41.222549764223636
2,traffic,FR-Capitole,traffic_contribution,54.43517873915184
2,traffic,UK-Manchester,AHF,33.797388364583334
2,traffic,UK-Manchester,traffic_contribution,45.08332712075745
3,AH4GUC,FR-Capitole,AHF,44.45487
3,AH4GUC,FR-Capitole,traffic_contribution,
3,AH4GUC,UK-Manchester,AHF,24.57351
3,AH4GUC,UK-Manchester,traffic_contribution,
3,cntl,FR-Capitole,AHF,7.414282810999461
3,cntl,FR-Capitole,traffic_contribution,0.0
3,cntl,UK-Manchester,AHF,14.167880644561142
3,cntl,UK-Manchester,traffic_contribution,
3,traffic,FR-Capitole,AHF,28.778813440633076
3,traffic,FR-Capitole,traffic_contribution,80.30747625649668
3,traffic,UK-Manchester,AHF,29.993282657258064
3,traffic,UK-Manchester,traffic_contribution,51.68056078996483
4,AH4GUC,FR-Capitole,AHF,42.32866
4,AH4GUC,FR-Capitole,traffic_contribution,
4,AH4GUC,UK-Manchester,AHF,22.43931
4,AH4GUC,UK-Manchester,traffic_contribution,
4,cntl,FR-Capitole,AHF,1.0569712965775073
4,cntl,FR-Capitole,traffic_contribution,0.0
4,cntl,UK-Manchester,AHF,10.228750275784275
4,cntl,UK-Manchester,traffic_contribution,
4,traffic,FR-Capitole,AHF,23.046090824074216
4,traffic,FR-Capitole,traffic_contribution,96.40318795866058
4,traffic,UK-Manchester,AHF,26.15772094708333
4,traffic,UK-Manchester,traffic_contribution,60.033414756298306
5,AH4GUC,FR-Capitole,AHF,41.41099
5,AH4GUC,FR-Capitole,traffic_contribution,
5,AH4GUC,UK-Manchester,AHF,20.98508
5,AH4GUC,UK-Manchester,traffic_contribution,
5,cntl,FR-Capitole,AHF,0.5451187547671819
5,cntl,FR-Capitole,traffic_contribution,0.0
5,cntl,UK-Manchester,AHF,4.096105980656801
5,cntl,UK-Manchester,traffic_contribution,
5,traffic,FR-Capitole,AHF,22.635152005059744
5,traffic,FR-Capitole,traffic_contribution,97.81170514426101
5,traffic,UK-Manchester,AHF,20.07797946666667
5,traffic,UK-Manchester,traffic_contribution,77.01759968034362
6,AH4GUC,FR-Capitole,AHF,36.99039
6,AH4GUC,FR-Capitole,traffic_contribution,
6,AH4GUC,UK-Manchester,AHF,19.49859
6,AH4GUC,UK-Manchester,traffic_contribution,
6,cntl,FR-Capitole,AHF,0.13962089760247587
6,cntl,FR-Capitole,traffic_contribution,0.0
6,cntl,UK-Manchester,AHF,1.4326799421124936
6,cntl,UK-Manchester,traffic_contribution,
6,traffic,FR-Capitole,AHF,22.3590542803208
6,traffic,FR-Capitole,traffic_contribution,99.22044134490376
6,traffic,UK-Manchester,AHF,17.544765693888888
6,traffic,UK-Manchester,traffic_contribution,90.57341564353209
7,AH4GUC,FR-Capitole,AHF,36.10105
7,AH4GUC,FR-Capitole,traffic_contribution,
7,AH4GUC,UK-Manchester,AHF,17.53218
7,AH4GUC,UK-Manchester,traffic_contribution,
7,cntl,FR-Capitole,AHF,0.15206290562824132
7,cntl,FR-Capitole,traffic_contribution,0.0
7,cntl,UK-Manchester,AHF,0.07302670962532722
7,cntl,UK-Manchester,traffic_contribution,
7,traffic,FR-Capitole,AHF,22.381629054264355
7,traffic,FR-Capitole,traffic_contribution,99.10056994365203
7,traffic,UK-Manchester,AHF,16.281621926612903
7,traffic,UK-Manchester,traffic_contribution,99.4252084649712
8,AH4GUC,FR-Capitole,AHF,35.45168
8,AH4GUC,FR-Capitole,traffic_contribution,
8,AH4GUC,UK-Manchester,AHF,18.27031
8,AH4GUC,UK-Manchester,traffic_contribution,
8,cntl,FR-Capitole,AHF,0.15356311120977092
8,cntl,FR-Capitole,traffic_contribution,0.0
8,cntl,UK-Manchester,AHF,0.009575905817763014
8,cntl,UK-Manchester,traffic_contribution,
8,traffic,FR-Capitole,AHF,22.401227525805915
8,traffic,FR-Capitole,traffic_contribution,99.01894804822005
