factor,var,sdev,coef
add0.1,TSA_U,1.2232149536715735,0.8929740908812618
add0.1,RH2M,1.6966824826748923,0.7083270471586764
add0.2,TSA_U,1.2212851769733482,0.8919065775124434
add0.2,RH2M,1.6903261923609454,0.716819765819826
add0.4,TSA_U,1.2151688527508229,0.8880111310244357
add0.4,RH2M,1.7025772488271713,0.7239953674309387
add0.8,TSA_U,1.2059934008398843,0.8818778459106833
add0.8,RH2M,1.71369554540397,0.7359259044370282
sub0.1,TSA_U,1.2287611070333437,0.893862004551792
sub0.1,RH2M,1.6847483784202888,0.7019077415605773
sub0.2,TSA_U,1.2312520508770426,0.8940638125482899
sub0.2,RH2M,1.679957919641164,0.6922553446161043
sub0.4,TSA_U,1.2350492207017958,0.8941993299269339
sub0.4,RH2M,1.6605790656591035,0.6697420562113566
sub0.8,TSA_U,1.2436965736184917,0.8936631021379928
sub0.8,RH2M,1.6083056618339877,0.63334961008188
traffic,TSA_U,1.2266698254224029,0.8941351937169375
traffic,RH2M,1.6927664449591346,0.7058146789627283
