Site,Scenario,Init Time,Run Time,Final Time,ATM Run Time,LND Run Time,CPL Run Time
FR-Cap,cntl,278.412,146.231,0.016,39.971,49.344,56.91599999999999
FR-Cap,cntl,295.558,140.733,0.118,39.383,44.035,57.315
FR-Cap,cntl,319.469,148.576,0.018,40.723,50.313,57.53999999999999
FR-Cap,cntl,249.834,139.703,0.054,39.806,42.799,57.098000000000006
FR-Cap,cntl,266.643,143.88,0.013,41.172,45.584,57.123999999999995
FR-Cap,traffic,307.212,148.111,0.083,40.03,50.3,57.78099999999999
FR-Cap,traffic,311.587,147.055,0.009,40.359,49.404,57.291999999999994
FR-Cap,traffic,267.428,144.113,0.003,40.94,46.005,57.168
FR-Cap,traffic,302.5,143.493,0.311,40.166,45.087,58.239999999999995
FR-Cap,traffic,308.69,144.787,0.096,40.577,46.951,57.25900000000001
UK-MCR,cntl,330.092,67.726,0.013,16.478,23.563,27.685
UK-MCR,cntl,306.297,71.316,0.01,17.74,23.248,30.328000000000007
UK-MCR,cntl,296.26,68.384,0.024,16.079,24.51,27.794999999999998
UK-MCR,cntl,315.119,68.482,0.015,15.694,24.608,28.179999999999996
UK-MCR,cntl,326.122,68.445,0.094,15.897,24.706,27.841999999999995
UK-MCR,traffic,312.02,72.83,0.016,16.267,25.716,30.847
UK-MCR,traffic,326.127,71.376,0.009,17.581,25.825,27.970000000000002
UK-MCR,traffic,320.072,68.115,0.073,16.127,24.008,27.98
UK-MCR,traffic,351.524,70.635,0.013,16.016,26.657,27.962000000000007
UK-MCR,traffic,318.256,70.521,0.028,15.569,26.891,28.061
